placeId,lang,name,wikidataId,OSMRId,OSMLatLon,nature,comments
67,ger,Lindenthal,Q518491,2613750,"50.9359354, 6.8712465",real,
68,ger,Heidelberg,Q2966,285864,"49.4093582, 8.694724",real,
69,ger,Mainz,Q1720,62630,"50.0012314, 8.2762513",real,
70,ger,Alentejo,Q20963720,1763537517,"38.0551003, -7.8605799",real,
71,ger,Danzig,Q1792,1553098,"54.3706858, 18.6129821",real,
72,ger,Florenz,Q2044,42602,"43.7698712, 11.2555757",real,
73,ger,eine Residenz,,,,fictional,
74,ger,ein Badeort,,,,fictional,
75,ger,Wiesensteig,Q80854,2782604,"48.5620891, 9.6264045",real,
76,ger,Prag,Q1085,435514,"50.0874654, 14.4212535",real,
77,ger,Rom,Q220,41485,"41.8933203, 12.4829321",real,
78,ger,Dornbach,Q13400194,5891253,"48.2310998, 16.2946208",real,
79,ger,Mannheim,Q2119,62691,"49.4892913, 8.4673098",real,
80,ger,Friedberg,Q516485,393689,"50.3352682, 8.7539306",real,
